mu1,mu2,sigma1,sigma2,w1,w2
4.11879,2.12301,1.12311,0.269469,0.728431,0.271563
1.46387,8.48586,0.324167,2.78014,0.737156,0.262888
1.42849,8.38843,0.332591,2.58666,0.7366,0.263443
1.44866,8.71523,0.322363,2.88216,0.742705,0.257335
1.45991,8.3643,0.308264,2.54013,0.727783,0.272315
4.11053,2.12994,1.07431,0.247413,0.704754,0.295287
1.46163,8.36397,0.310623,2.92245,0.739606,0.260432
1.4498,8.75502,0.324021,2.98435,0.754325,0.245852
4.20078,2.15744,1.17162,0.239996,0.729494,0.270507
1.46261,8.64225,0.334378,2.85506,0.750339,0.249665
4.13483,2.10697,1.02554,0.241972,0.719146,0.280845
4.12975,2.1547,1.09141,0.245448,0.735316,0.264802
4.06973,2.14883,1.10748,0.232887,0.716901,0.283145
1.43257,8.86045,0.303227,2.82367,0.754628,0.245386
4.06483,2.14924,1.14338,0.238917,0.738326,0.261683
4.1545,2.15658,1.11281,0.251058,0.745971,0.253994
1.45913,8.90927,0.314933,3.1896,0.772971,0.227053
4.16487,2.15179,1.14268,0.243866,0.727098,0.272942
4.17742,2.15336,1.15253,0.24127,0.737746,0.262332
4.07237,2.13825,1.06635,0.24647,0.723266,0.276721
4.18305,2.13104,1.10376,0.269214,0.737697,0.262357
4.05228,2.08824,1.05357,0.239054,0.700393,0.299494
4.29331,2.16663,1.19996,0.255938,0.763113,0.236935
4.03755,2.10048,1.02401,0.250698,0.711677,0.288347
1.44673,8.90304,0.321647,2.96793,0.752547,0.247508
1.47208,8.94115,0.35853,3.14573,0.75923,0.240801
4.11536,2.12822,1.07712,0.254453,0.720303,0.279731
1.4686,9.13753,0.340399,3.17847,0.786347,0.213679
4.06044,2.12681,1.03411,0.257592,0.711486,0.288436
1.44961,8.87181,0.325749,2.91249,0.752485,0.247524
1.44836,8.86109,0.33093,2.89939,0.744981,0.255036
4.12911,2.13581,1.0973,0.243631,0.724305,0.275747
4.16323,2.13739,1.10023,0.234996,0.712131,0.287962
4.11119,2.11892,1.07812,0.249818,0.710844,0.289154
1.4561,8.50645,0.330342,2.94288,0.754572,0.245533
4.08455,2.12091,1.12292,0.25155,0.723578,0.276524
4.07542,2.11445,1.09696,0.255001,0.711256,0.288765
4.12396,2.11824,1.10159,0.235365,0.70381,0.296234
1.46084,8.54943,0.321759,2.62882,0.740659,0.259346
4.09215,2.12267,1.1183,0.236329,0.708494,0.291567
4.11019,2.11831,1.0723,0.268049,0.701856,0.298245
4.13503,2.13551,1.11679,0.246231,0.734108,0.265936
1.44046,8.79422,0.309595,2.67808,0.742882,0.257211
1.46257,8.66652,0.318361,2.94724,0.757976,0.242028
1.4786,8.65893,0.319912,3.11218,0.773147,0.226919
4.06629,2.12206,1.05132,0.246038,0.719763,0.280217
4.10543,2.11803,1.08918,0.248166,0.718464,0.281616
4.25288,2.15397,1.11222,0.247319,0.745157,0.254948
4.14851,2.18352,1.0696,0.24595,0.736784,0.263319
4.18317,2.16696,1.08388,0.2657,0.748834,0.251191
