mean1,mean2,mean3,var1,var2,var3,sk1,sk2,sk3,w1,w2,w3,mm_mean,mm_var,mm_skew
4.04291,5.9675,10.4817,1.0046,2.98492,5.02262,0.0,0.0,0.0,0.553791,0.28121,0.165098,5.64755,7.53784,26.5252517089
3.88562,7.04664,9.64732,0.724868,1.95784,3.72766,0.0,0.0,0.0,0.574748,0.268954,0.156383,5.63715,6.33857,14.8003179035
3.68826,6.50632,10.7872,0.870546,2.34905,4.0903,0.0,0.0,0.0,0.598601,0.278872,0.122611,5.34486,7.3283,25.3613561392
3.85759,8.1258,10.6459,1.29213,1.71924,9.69503,0.0,0.0,0.0,0.674782,0.242859,0.08238,5.45346,7.76213,25.039618568
4.00348,6.3292,9.99763,0.994193,2.14872,2.10077,0.0,0.0,0.0,0.59793,0.222053,0.180107,5.59987,6.5752,16.1613921387
3.80577,5.68902,9.19229,0.557078,0.529444,3.10556,0.0,0.0,0.0,0.521562,0.241129,0.237444,5.53938,5.89691,15.484328451
4.19043,8.24061,13.7739,1.15921,2.12715,3.97409,0.0,0.0,0.0,0.681805,0.282358,0.0359184,5.6786,7.2509,26.1107870739
3.84296,6.05354,9.719,0.967869,2.83094,6.5036,0.0,0.0,0.0,0.538932,0.26255,0.198566,5.59031,7.64285,25.4193033499
3.97506,7.67772,14.0486,1.35798,2.78875,10.6693,0.0,0.0,0.0,0.63656,0.314233,0.0491855,5.63395,8.81249,43.4003901708
3.80577,6.13216,10.4224,1.07128,2.79575,4.33235,0.0,0.0,0.0,0.542915,0.303986,0.153129,5.52628,7.48448,23.5629961856
4.05555,6.97128,11.2436,0.70553,1.51697,1.8321,0.0,0.0,0.0,0.65243,0.243818,0.103923,5.51415,6.33772,21.1505261831
3.69105,5.03314,9.36145,0.626841,0.651042,4.33722,0.0,0.0,0.0,0.448429,0.315618,0.235987,5.45291,6.56282,21.871938311
3.81883,6.99345,10.298,0.989885,1.3952,2.03332,0.0,0.0,0.0,0.639852,0.254218,0.106004,5.31298,5.98427,14.3766404953
4.25149,7.29156,12.485,0.97766,1.97905,3.4011,0.0,0.0,0.0,0.669489,0.272815,0.0577688,5.55682,6.12551,23.4764771761
3.61732,5.3766,9.78246,0.79379,1.75336,4.27844,0.0,0.0,0.0,0.488945,0.363334,0.147846,5.16846,5.99736,20.0482976933
3.96512,7.51102,11.5188,1.05104,1.44261,3.19845,0.0,0.0,0.0,0.659946,0.286457,0.0536357,5.38617,5.92162,16.0583661836
4.11604,7.75132,14.1976,1.08493,1.47312,4.01589,0.0,0.0,0.0,0.695497,0.253185,0.0514012,5.55498,7.83476,38.3450917499
4.02045,7.55303,13.0599,1.44118,2.04713,9.11934,0.0,0.0,0.0,0.636359,0.278206,0.0855186,5.77661,9.64351,46.3970431098
4.14638,7.55651,12.4881,0.88151,2.86697,5.89896,0.0,0.0,0.0,0.657444,0.243847,0.098836,5.80292,8.83278,40.3465642266
4.03208,6.12476,9.92,0.711821,2.07134,2.60913,0.0,0.0,0.0,0.571754,0.274635,0.153639,5.51153,5.71734,15.9170355183
3.93539,5.54595,9.12233,1.48439,2.24528,5.11419,0.0,0.0,0.0,0.472074,0.365581,0.162561,5.36823,5.62469,14.0027096366
4.13818,8.18306,12.5627,1.16888,2.43373,12.6076,0.0,0.0,0.0,0.678029,0.257887,0.0640939,5.7213,8.49034,39.1371132001
3.92719,7.95645,12.1446,0.97777,1.42827,0.0765085,0.0,0.0,0.0,0.663017,0.292268,0.0448231,5.47357,6.45112,15.4994634669
4.1514,7.13938,10.9346,0.946802,2.27962,4.82062,0.0,0.0,0.0,0.650874,0.214543,0.134676,5.70637,7.45019,26.8416391762
4.3241,7.22282,11.9503,1.19435,3.19162,3.92027,0.0,0.0,0.0,0.715016,0.182616,0.102415,5.6347,7.61207,31.9474196838
3.68645,5.8099,8.59077,0.982871,1.42188,2.01932,0.0,0.0,0.0,0.491331,0.314319,0.194374,5.30725,4.78812,7.02116436383
3.98819,6.87913,11.9832,0.784638,1.67378,5.04887,0.0,0.0,0.0,0.654238,0.226503,0.119284,5.59677,8.42517,39.3452043706
4.12627,6.89774,10.4529,0.72094,1.29142,2.82239,0.0,0.0,0.0,0.607959,0.283827,0.108218,5.59756,5.45728,15.0182235912
4.10851,8.04701,14.6248,1.13906,1.55528,1.48439,0.0,0.0,0.0,0.706996,0.262853,0.0301177,5.46035,6.83907,27.1199533642
3.98044,7.70729,14.4441,1.28708,2.71505,1.1065,0.0,0.0,0.0,0.627778,0.332428,0.0397033,5.63443,7.98161,30.0304330854
4.03473,6.54833,12.9552,1.54377,3.39121,2.02578,0.0,0.0,0.0,0.61702,0.326063,0.056923,5.36212,7.00146,26.7893421286
3.59002,5.92499,9.18347,0.413563,0.920034,1.83281,0.0,0.0,0.0,0.582709,0.246401,0.170914,5.12145,5.12673,12.7468888399
3.71268,5.57477,9.92703,0.54538,0.75401,3.94249,0.0,0.0,0.0,0.502756,0.310877,0.186377,5.4498,6.50138,22.6206452726
3.80895,7.94419,11.2749,0.968501,3.30358,11.7767,0.0,0.0,0.0,0.644255,0.251635,0.104197,5.62779,9.48677,41.1770380311
3.87512,6.36064,10.8494,0.758359,1.85958,4.65233,0.0,0.0,0.0,0.557205,0.287158,0.155707,5.67507,7.78998,28.475143251
3.93703,7.55591,11.3516,1.17665,2.06659,4.13967,0.0,0.0,0.0,0.648216,0.212068,0.139752,5.74082,8.98671,30.1452005654
3.60127,6.14156,10.024,0.743712,2.13185,5.04844,0.0,0.0,0.0,0.507216,0.350314,0.14255,5.40702,6.72531,20.7520945182
4.34887,8.61106,12.3534,1.18626,1.78264,6.75695,0.0,0.0,0.0,0.749095,0.205521,0.0454505,5.58894,6.67084,24.5606427178
3.9763,6.31109,11.1637,1.21312,3.12661,8.64128,0.0,0.0,0.0,0.510064,0.375898,0.114154,5.67487,7.84341,31.8072514545
4.10055,7.36165,11.7337,1.20088,1.84699,1.75216,0.0,0.0,0.0,0.64069,0.284611,0.0747632,5.59963,6.56255,18.383177983
4.03508,7.70072,13.9619,0.892709,1.54273,1.09729,0.0,0.0,0.0,0.681713,0.28834,0.0299816,5.38979,6.08033,22.2052732972
3.88986,8.19287,12.8635,1.14471,2.57513,2.15605,0.0,0.0,0.0,0.709099,0.227834,0.0630471,5.43591,8.43924,32.1051127028
3.79578,6.40705,9.49907,0.907958,2.04019,1.92921,0.0,0.0,0.0,0.600264,0.23488,0.164857,5.34934,5.89266,12.74751177
3.95009,6.52428,9.97119,0.76577,0.966867,3.74435,0.0,0.0,0.0,0.587272,0.263664,0.149061,5.52631,5.92942,17.1315919353
3.79829,5.10412,9.65421,1.03006,1.39415,3.78733,0.0,0.0,0.0,0.460927,0.361664,0.1774,5.30937,6.06745,19.251676197
3.56832,6.43062,9.5298,0.653869,1.21487,2.60537,0.0,0.0,0.0,0.55986,0.288085,0.152074,5.29955,5.88018,13.3383302131
3.77362,6.28986,10.4075,0.757555,0.726999,3.05442,0.0,0.0,0.0,0.564533,0.297625,0.137869,5.43723,6.24984,19.2120153617
3.75901,8.04908,11.8421,0.917868,2.42956,3.19188,0.0,0.0,0.0,0.64775,0.271985,0.0802938,5.57497,8.46629,26.4888457649
3.39029,5.60889,9.33759,0.446187,0.819517,4.23254,0.0,0.0,0.0,0.41163,0.414779,0.173691,5.34385,5.62918,16.004815829
4.09405,5.70772,9.61701,0.780058,2.90836,4.07703,0.0,0.0,0.0,0.5363,0.279366,0.18439,5.56346,6.17614,18.230005719
4.02448,7.43861,12.29,0.999968,1.91859,3.91401,0.0,0.0,0.0,0.647864,0.289848,0.0623576,5.52976,6.82189,24.2801941513
4.01612,7.88954,11.833,0.690102,1.38872,0.610677,0.0,0.0,0.0,0.683378,0.237422,0.0792115,5.55499,6.88393,21.1731752953
4.38858,8.26682,17.695,1.00248,1.8573,0.0900001,0.0,0.0,0.0,0.7077,0.27243,0.019937,5.7107,7.09769,38.3608188794
4.08033,7.91195,11.3221,1.13255,0.827769,0.268008,0.0,0.0,0.0,0.668504,0.272363,0.0591662,5.55253,5.93304,11.334033078
3.91264,7.30504,13.1642,0.969509,2.12333,2.47802,0.0,0.0,0.0,0.65636,0.296762,0.0470263,5.35502,6.74481,26.2889233388
4.08415,8.19606,12.8149,0.927574,1.52155,0.261714,0.0,0.0,0.0,0.722859,0.204218,0.0729214,5.56053,7.83205,29.1542366858
3.93588,7.82595,11.4985,0.994272,1.94712,2.61234,0.0,0.0,0.0,0.664074,0.215645,0.120321,5.68485,8.481,26.9202795166
