mu1,mu2,mu3,sigma1,sigma2,sigma3,w1,w2,w3
4.00728,7.23387,11.2191,1.04659,1.68294,2.69196,0.651634,0.263028,0.0854298
4.06056,7.21469,10.3724,1.02058,1.5817,2.3482,0.627447,0.260286,0.112303
3.94662,7.18269,10.2201,1.00009,1.60126,2.51779,0.634925,0.258955,0.10613
4.03713,7.43804,11.0263,1.03624,1.63392,2.37822,0.646157,0.260136,0.0937697
4.05849,7.24524,9.94944,0.962176,1.59462,2.59852,0.614073,0.269863,0.116232
4.00968,7.24073,10.314,1.00993,1.60958,2.60938,0.625303,0.247632,0.127092
4.01618,6.87161,10.0934,0.996453,1.69203,2.60061,0.60579,0.274517,0.119768
3.99451,7.22694,11.0577,1.01346,1.61147,2.40045,0.640678,0.263152,0.0962209
3.97044,6.73988,10.2863,1.02685,1.60848,2.19737,0.594309,0.263463,0.142324
4.02712,6.90106,10.1367,1.03407,1.84217,2.50938,0.599814,0.265711,0.134422
4.03347,7.08062,10.1962,0.954426,1.46766,2.22849,0.643869,0.241636,0.114523
4.08454,7.7986,11.5121,1.05761,1.49216,2.22798,0.692536,0.23194,0.0754893
3.90439,6.80937,9.91304,1.00703,1.74497,2.3299,0.594756,0.248621,0.156707
4.01684,7.60903,11.2064,0.960065,1.58077,2.63046,0.673336,0.242415,0.0843155
3.85739,6.34315,10.0148,1.0093,1.84839,2.33792,0.579459,0.277671,0.142992
4.02018,7.22071,11.0748,1.02683,1.79639,2.46163,0.646242,0.263694,0.0901438
3.96186,7.04486,11.6004,0.956414,1.55358,2.46344,0.644683,0.271423,0.0840283
4.0259,7.16328,10.4897,1.05467,1.64202,2.35054,0.634481,0.243444,0.122149
3.99028,6.63897,10.4829,1.04099,1.67516,1.98103,0.617286,0.258831,0.123915
3.98085,7.2785,10.7971,1.0067,1.58553,2.15145,0.65333,0.243688,0.102961
4.08527,7.36544,11.6011,1.0328,1.55615,2.57168,0.669123,0.253238,0.0777012
3.97413,7.25033,10.4655,1.00195,1.46036,2.3135,0.638621,0.272765,0.0887601
4.07398,6.97201,11.0415,1.05942,1.80152,2.71087,0.621149,0.285151,0.0937181
3.95855,7.21451,10.4953,0.970349,1.5526,2.4499,0.646994,0.254956,0.0981409
4.14406,8.26499,12.2606,1.08331,1.45628,2.35003,0.710802,0.232323,0.0569677
4.09137,7.88574,12.0586,1.10398,1.54558,2.50595,0.673804,0.259753,0.0665251
4.00495,7.31463,10.8038,1.0019,1.6617,2.70036,0.637845,0.265396,0.0967794
4.06272,7.22264,11.2528,1.06287,1.79391,2.70678,0.652693,0.252402,0.0949259
4.02571,7.71577,11.0092,1.00784,1.61432,2.98472,0.667672,0.245067,0.0872478
4.01765,7.07932,10.6835,1.02311,1.76833,2.45086,0.628359,0.251898,0.119727
3.9609,7.2905,11.3339,0.993903,1.64469,2.57201,0.628594,0.282298,0.0892203
3.98498,7.01411,10.2938,1.01231,1.71101,2.49613,0.616031,0.263736,0.120315
3.96995,6.61,10.2303,0.99024,1.66512,2.01038,0.574284,0.289553,0.136128
3.98526,7.02755,10.5174,0.997476,1.57515,2.2422,0.623317,0.264683,0.112015
3.92979,6.65263,10.2374,0.988239,1.61356,2.39741,0.596842,0.277187,0.126054
3.91785,6.96704,10.1709,1.01586,1.68141,2.75609,0.604852,0.272487,0.122759
3.95437,7.20089,10.6876,1.01676,1.63188,2.70727,0.624741,0.27721,0.0981337
3.96726,6.93702,10.1674,1.00731,1.5908,2.11726,0.602315,0.275212,0.122473
4.02269,7.03013,10.4377,0.983492,1.58982,2.41879,0.605746,0.287171,0.107201
3.92432,6.75932,9.96589,1.02097,1.67414,2.17968,0.594909,0.267056,0.138143
4.06899,7.60309,12.1253,1.03381,1.41508,2.23276,0.662422,0.267913,0.0697494
4.01446,7.25815,10.5634,1.03698,1.63866,2.46055,0.650333,0.246803,0.102909
3.97784,6.91024,10.3776,0.955673,1.70124,2.34804,0.608884,0.25979,0.131382
4.01413,7.00017,10.4117,0.987473,1.64921,2.68198,0.622656,0.26225,0.115205
4.10949,7.16259,11.1421,1.04775,1.69092,2.49694,0.655415,0.263609,0.0810011
3.97408,7.27848,10.4234,0.989252,1.55635,2.46516,0.645701,0.245413,0.108958
4.02796,7.42199,11.006,1.03766,1.52987,2.39765,0.65695,0.261342,0.081848
4.14012,7.4422,11.0875,1.04022,1.68677,2.56923,0.658719,0.255699,0.0856243
4.04762,7.4924,11.0108,1.00073,1.73856,2.32148,0.65794,0.230242,0.111829
4.05903,7.18068,11.2895,1.00024,1.74379,2.54117,0.651685,0.248162,0.100148
3.99965,6.92147,10.621,1.02099,1.85075,2.29092,0.629757,0.248952,0.121315
4.04655,7.53646,11.1521,1.02852,1.63899,2.7023,0.660194,0.259786,0.0801533
3.98086,5.82743,9.49954,0.942888,1.67696,2.0688,0.538965,0.292329,0.168725
3.86939,6.2663,9.8286,1.03874,1.68368,2.24482,0.547596,0.29182,0.160593
3.85902,6.47943,9.82359,0.974848,1.73689,2.48989,0.56032,0.273471,0.166242
3.98152,7.49123,10.3494,0.980743,1.63439,2.38954,0.641412,0.235078,0.123642
4.01234,7.35686,10.9651,0.992175,1.60924,3.10509,0.640559,0.267808,0.0916052
3.86809,6.43896,10.1873,0.971815,1.60641,2.31497,0.573808,0.289716,0.136522
3.95264,6.66434,10.5643,0.966336,1.58503,2.04968,0.619549,0.263975,0.11651
4.12872,7.95111,11.156,1.0771,1.49494,2.1613,0.683088,0.225862,0.0910764
3.88475,6.13232,9.68176,0.958795,1.74596,2.30451,0.543115,0.272111,0.184907
3.93202,7.1637,10.5866,1.03025,1.68791,2.62841,0.625805,0.272077,0.102153
4.0088,7.31435,10.1893,0.975622,1.61643,2.49469,0.633416,0.23848,0.128204
4.15336,7.81684,11.1293,1.01488,1.44475,2.52035,0.683087,0.239655,0.0771778
3.8686,5.58871,9.53904,0.99758,1.76503,2.58647,0.472317,0.350805,0.176918
4.03935,7.20594,10.4991,1.04764,1.80594,2.61543,0.639705,0.249673,0.110645
4.06776,7.22315,10.5956,1.01779,1.65505,2.54676,0.633142,0.254163,0.112796
4.00739,6.97449,11.2673,1.02938,1.58729,2.10928,0.641242,0.277519,0.0812574
4.0513,6.75076,10.2969,1.01147,1.74895,2.11315,0.617768,0.258335,0.123927
3.99845,7.02104,10.6378,1.07722,1.76817,2.40207,0.627974,0.266753,0.10536
4.03819,7.4945,11.6335,1.05721,1.64951,2.94629,0.658072,0.270492,0.0715274
4.01612,6.73865,10.171,0.964344,1.44582,2.30428,0.606203,0.281638,0.112204
4.08186,7.84095,11.5304,1.07476,1.63294,2.51225,0.687145,0.244101,0.068819
4.01723,7.76991,11.3923,0.998679,1.4631,2.24515,0.67642,0.245785,0.0778655
4.02862,6.69155,10.0614,0.946697,1.72451,2.4605,0.60265,0.259609,0.137771
3.98263,6.7718,10.1365,0.961537,1.75688,2.48868,0.589258,0.271598,0.139172
3.98004,7.41846,11.8405,1.01033,1.55478,2.30003,0.657293,0.274783,0.0679378
3.93272,7.25325,10.7978,0.974244,1.67103,2.58413,0.620212,0.285004,0.0948749
4.02045,7.2327,9.9992,1.01927,1.73034,2.32516,0.634606,0.240248,0.125229
4.11328,7.59563,11.1439,1.00879,1.73389,3.33187,0.658547,0.260495,0.0810284
4.01529,7.02335,10.9364,0.98037,1.57773,2.2783,0.626104,0.255636,0.11828
4.0026,6.92467,10.2318,1.05622,1.70662,2.32328,0.627566,0.240851,0.131616
3.94602,6.9319,10.0687,1.02923,1.67506,2.64144,0.589759,0.280729,0.12954
4.05316,7.40803,11.0614,1.03078,1.61592,2.65691,0.653647,0.247876,0.0984756
3.89359,6.00769,9.83703,1.01436,1.76934,2.55844,0.521289,0.317739,0.160917
4.00973,7.06111,10.7509,1.06433,1.52778,2.16069,0.632514,0.262959,0.1046
4.00306,6.99577,10.5976,1.00577,1.57468,2.42633,0.623855,0.265251,0.110939
4.07591,7.75598,11.9425,1.04333,1.57469,2.84068,0.655967,0.277264,0.066825
4.127,7.84944,10.7614,1.06935,1.50178,2.51676,0.660343,0.247031,0.0927289
3.99819,7.13734,10.778,1.0034,1.57326,2.427,0.629722,0.261523,0.10874
4.07745,7.66363,10.8879,1.06115,1.643,2.50476,0.655896,0.239193,0.105
3.9188,6.74737,10.1248,0.940867,1.58357,2.38943,0.602867,0.272949,0.124223
4.06179,7.51216,11.182,1.00055,1.56514,2.37869,0.659637,0.24584,0.094565
4.126,7.95024,12.0127,1.04904,1.47902,2.61401,0.697368,0.256351,0.0464001
3.99919,6.83524,10.5253,1.01836,1.66749,2.23146,0.617692,0.259079,0.123261
3.99739,7.19292,10.4892,0.960283,1.60094,2.81114,0.641837,0.259473,0.0987129
4.09405,7.87606,12.6818,1.04169,1.51051,2.73555,0.688107,0.263928,0.0479896
4.01362,7.44473,10.452,1.02094,1.53075,2.45739,0.641735,0.254932,0.103339
3.96983,7.28964,11.1988,1.04118,1.50181,2.0525,0.64102,0.257485,0.101502
4.11867,7.6632,11.3783,1.05491,1.6786,2.78007,0.660747,0.251259,0.0880102
4.03723,7.33586,11.4212,1.07059,1.47046,2.30021,0.660588,0.265223,0.0742031
4.04644,7.3597,11.7097,1.09946,1.8193,2.79289,0.637054,0.290031,0.0730127
4.029,6.64961,10.46,1.00924,1.61274,2.55617,0.592166,0.299262,0.108634
3.99605,7.04493,11.1584,1.02318,1.47004,2.17844,0.61506,0.28682,0.0981317
4.00358,7.01046,10.4667,0.999194,1.72253,2.25455,0.621844,0.256579,0.121599
4.01386,7.06458,10.235,1.07197,1.74601,2.13307,0.623517,0.254436,0.122125
4.00015,6.90832,10.718,0.997032,1.61978,2.38865,0.619466,0.272185,0.108449
3.93492,6.74283,10.4167,1.04244,1.67606,2.5435,0.594557,0.293483,0.112056
4.06636,7.45219,10.8221,1.01212,1.53536,2.76731,0.667678,0.249865,0.0823942
4.0817,6.29702,10.1922,1.00337,1.85787,2.75404,0.56286,0.296781,0.14042
4.0674,7.58762,11.3554,1.07024,1.54776,2.74766,0.661789,0.261036,0.0771832
3.87201,6.62891,10.2848,0.953819,1.63307,2.35891,0.589822,0.267269,0.142987
3.99051,6.93942,10.5751,1.0043,1.65711,2.63504,0.621794,0.26894,0.109301
4.05318,7.11333,10.906,0.973374,1.55025,2.26417,0.632709,0.262324,0.10508
4.01883,7.24323,10.6047,1.05006,1.71626,2.84381,0.631863,0.268788,0.0994426
4.10454,7.19895,11.0493,1.08272,1.68303,2.40381,0.645985,0.262063,0.0920302
3.92074,6.2629,9.9741,0.9761,1.77266,2.2318,0.565419,0.277331,0.157204
4.03004,6.83441,10.2427,1.00793,1.69099,2.71639,0.602092,0.273162,0.124727
3.94748,6.68391,10.8021,1.03284,1.71791,2.5066,0.591929,0.296029,0.112062
4.05158,6.69756,10.1066,0.951353,1.7238,2.3276,0.601306,0.257613,0.141177
4.08007,7.2705,10.8367,1.04069,1.70228,2.88361,0.622967,0.273641,0.103379
4.00655,6.81595,9.72243,0.989688,1.75121,2.55511,0.618416,0.242502,0.139076
3.9972,7.50435,10.9918,1.10985,1.59085,2.44703,0.662786,0.253944,0.0833083
3.91216,6.2384,9.76921,0.983717,1.66114,2.14939,0.570408,0.279345,0.150301
3.96087,6.93509,9.95686,1.00891,1.84837,2.65336,0.59333,0.260479,0.146285
4.14754,7.53718,10.7312,1.00613,1.66395,2.4696,0.660834,0.235692,0.103572
4.05722,7.87572,11.2349,1.07374,1.6296,3.06141,0.673822,0.235979,0.0902452
3.95219,7.02301,10.225,0.994937,1.79085,2.404,0.622071,0.241861,0.136095
4.07153,7.60313,11.1259,0.980338,1.45248,2.49852,0.657496,0.256651,0.0859617
3.90224,6.90018,10.2257,1.0278,1.76791,2.67777,0.617503,0.268794,0.113774
4.03627,7.02882,10.5413,1.01841,1.70856,2.565,0.639213,0.265018,0.0957969
4.04729,6.92022,11.1607,1.08443,1.61063,2.43731,0.638805,0.268011,0.0932444
4.09577,7.37709,11.4078,0.994223,1.56789,2.43696,0.65581,0.267441,0.0768874
4.06521,7.3416,10.9842,1.04175,1.46581,1.91132,0.656128,0.241219,0.1026
4.03511,7.25295,10.8193,0.977655,1.5972,2.20432,0.63665,0.262193,0.101253
4.14623,7.92466,11.1905,1.00221,1.62222,2.60448,0.691309,0.230114,0.0786464
3.96692,6.85417,10.4801,0.972196,1.66844,2.19901,0.632921,0.256457,0.110639
4.05876,7.49736,10.7573,1.03697,1.77749,2.36652,0.651416,0.242224,0.106483
3.98902,6.85679,9.78619,0.981735,1.60443,2.24235,0.596057,0.261815,0.142202
4.01024,7.39402,11.0988,1.04444,1.59773,2.57004,0.651766,0.265244,0.0830764
4.07194,7.27782,10.2499,0.979753,1.62798,2.56471,0.629487,0.254787,0.115734
4.00533,7.34919,10.7654,1.01616,1.55101,2.58838,0.661549,0.252786,0.0856964
4.06361,7.32023,10.568,1.07141,1.63445,2.6454,0.627128,0.27077,0.102167
4.14037,7.83696,12.1376,1.08068,1.52572,2.9301,0.69065,0.255499,0.0539308
4.0102,6.97597,10.6296,1.01784,1.63652,2.29539,0.635914,0.24837,0.115744
4.0522,7.24217,10.4875,1.00288,1.55535,2.32729,0.658285,0.254391,0.0873433
4.01941,7.01326,10.0683,0.964335,1.73911,2.77306,0.593,0.277752,0.129316
4.02996,7.58674,10.9334,1.02185,1.61276,3.13869,0.661331,0.263371,0.0753297
4.03007,5.96587,10.1127,1.05033,1.7496,2.26695,0.547942,0.306339,0.145703
3.98498,7.05798,10.8255,0.991493,1.41507,2.4193,0.632452,0.279413,0.0882724
3.93642,6.07866,9.58986,0.995117,1.71266,2.02481,0.547034,0.290699,0.162269
4.09252,7.26552,11.4134,1.04934,1.58956,2.52925,0.64796,0.276721,0.0753305
4.01078,7.41174,10.8867,1.03765,1.54199,2.37048,0.6565,0.23549,0.108038
4.0385,7.34817,10.4189,1.05542,1.71533,2.52379,0.636643,0.258429,0.104969
4.00361,6.8492,10.0445,1.02229,1.68118,2.53471,0.589754,0.29182,0.118491
3.96444,6.69954,10.2075,1.04461,1.58422,2.00573,0.606275,0.275585,0.118265
3.98519,7.20625,10.9018,1.01449,1.77209,2.63694,0.633168,0.258592,0.108318
3.93504,6.90381,10.1024,1.00271,1.72546,2.86819,0.599069,0.283453,0.11754
4.05983,7.41591,10.4632,1.03463,1.68425,2.61136,0.656046,0.232272,0.111663
3.95706,6.57412,10.1375,0.99359,1.65112,2.17887,0.574394,0.288231,0.137393
3.97136,6.25861,10.0195,1.01895,1.80442,2.28876,0.546487,0.316625,0.136931
3.91664,6.89701,9.91004,0.991854,1.67991,2.21897,0.590622,0.260527,0.148899
4.06612,7.05679,10.3076,1.00601,1.57481,2.6834,0.626567,0.264654,0.108795
4.05919,7.4959,10.8118,1.06321,1.5904,2.98365,0.659895,0.259925,0.0802759
4.09343,7.44919,10.6946,1.05225,1.76764,2.53646,0.658785,0.22544,0.115769
3.9932,6.83862,10.9972,1.00036,1.53571,2.11341,0.63392,0.271142,0.0950505
4.09219,7.65478,11.2518,1.05575,1.57514,2.83035,0.667356,0.253468,0.0791775
4.06998,7.4681,11.1299,0.956854,1.38807,1.96121,0.667882,0.244053,0.0880073
4.04438,7.12135,11.0026,1.03335,1.71012,2.93982,0.633538,0.269643,0.0968535
3.97948,6.99498,10.1993,0.996464,1.70907,2.47972,0.601573,0.268547,0.129968
4.10807,7.24426,10.5423,1.07053,1.60794,2.49572,0.64706,0.263861,0.0891874
4.12779,7.51013,10.8591,1.0179,1.68772,2.27447,0.662896,0.222045,0.115123
4.04903,7.33495,10.4395,0.991761,1.66008,2.48774,0.658062,0.234455,0.107537
4.06641,7.22825,10.9893,1.01871,1.6418,2.55669,0.645865,0.270153,0.083932
3.98363,7.51374,11.6442,0.946341,1.49672,2.5663,0.661839,0.2594,0.0788387
3.9549,7.08675,10.2843,0.98484,1.54796,2.36169,0.631583,0.254263,0.11421
4.06677,7.3605,10.3782,1.03721,1.57836,2.38118,0.641213,0.258007,0.100818
4.06815,7.61154,10.7102,1.03688,1.24822,1.72347,0.686816,0.228244,0.0850366
3.97394,6.95107,10.323,0.990728,1.59462,2.39113,0.616628,0.254422,0.128932
4.11829,7.93647,12.1532,1.04417,1.52988,2.48293,0.693981,0.251445,0.054691
4.06209,7.36858,11.7076,0.987255,1.55377,2.54757,0.652231,0.279402,0.0684226
3.90106,6.85723,10.0401,0.973286,1.60345,2.50369,0.591903,0.286339,0.121761
4.02499,6.99464,10.3251,0.977759,1.37784,1.96377,0.610027,0.271276,0.118752
4.06466,7.19323,10.9918,1.02112,1.79672,2.39638,0.642653,0.24843,0.109013
4.07614,7.26763,11.1707,1.06392,1.56389,2.20068,0.643234,0.26769,0.0891158
4.04886,6.93804,10.6336,1.02133,1.78769,2.67075,0.615761,0.269799,0.114518
3.96514,7.36436,10.4271,0.969747,1.54268,2.42136,0.652542,0.242331,0.105186
3.97367,7.39389,10.5566,1.02454,1.52037,2.2102,0.664574,0.225245,0.110299
4.04476,7.01379,10.9521,0.979729,1.70208,2.37291,0.622735,0.264787,0.11238
4.0234,7.39252,10.5339,1.00141,1.49109,2.11097,0.653782,0.240099,0.106189
3.93603,5.87346,9.97646,0.993568,1.79996,2.58857,0.526198,0.309239,0.164646
3.81874,5.93703,9.86691,0.95423,1.56028,2.2593,0.521732,0.325351,0.15296
3.99075,6.75579,10.3174,0.980468,1.5251,2.20097,0.601231,0.282133,0.116759
4.08774,7.60535,11.5765,1.03653,1.49916,2.28456,0.678473,0.239844,0.0817182
4.13338,7.69487,10.9407,1.02785,1.68222,3.11245,0.66504,0.256345,0.0786475
3.97962,7.08347,10.2446,0.976803,1.7056,2.62122,0.606293,0.257041,0.136692
3.96801,5.98651,10.3122,1.00139,1.83915,2.48246,0.547622,0.307396,0.145104
3.9992,6.90286,10.5924,0.994949,1.6247,2.32518,0.604141,0.2714,0.12447
4.02232,7.64126,11.2091,1.0883,1.51376,2.38684,0.669449,0.256231,0.0743444
3.97438,6.9122,9.88053,1.02113,1.7113,2.77519,0.599485,0.274279,0.126301
4.01662,6.90595,10.4484,1.01573,1.58805,2.26564,0.626681,0.272669,0.100741
3.99036,7.32609,10.7717,1.0357,1.68362,2.49585,0.654724,0.248985,0.0963931
3.96446,6.594,10.2774,0.989087,1.80604,2.95723,0.579615,0.30045,0.120007
4.18483,7.85935,12.469,1.08731,1.47654,1.9323,0.679362,0.259068,0.0616237
4.10614,7.65811,10.7769,1.02405,1.51464,2.618,0.678111,0.242824,0.0791236
4.18308,7.65719,11.2641,0.99969,1.62967,2.83239,0.675582,0.253372,0.0711471
4.04776,7.58767,11.5293,1.08822,1.60971,2.62518,0.665643,0.261882,0.0726087
3.98296,6.80541,10.5491,1.01966,1.87012,2.77733,0.606854,0.266385,0.126812
4.02507,7.39555,11.3529,0.986664,1.54699,2.46114,0.650304,0.261298,0.0884911
4.09711,7.61013,10.9957,1.05858,1.65614,2.97708,0.672534,0.243273,0.0842095
3.98874,7.61835,11.2925,1.0037,1.49566,2.10713,0.659288,0.252674,0.0880161
4.05529,7.61785,11.2817,1.04603,1.5636,2.84616,0.658102,0.259209,0.0827418
4.20674,7.4322,10.995,1.06053,1.79714,2.5926,0.66716,0.238581,0.0942797
3.92835,6.4548,9.98772,0.984447,1.77053,2.48361,0.584358,0.276549,0.139117
4.00949,7.60267,11.6267,1.04642,1.69875,2.89238,0.691064,0.245947,0.0629628
4.06067,7.732,10.9968,1.0526,1.65623,2.64608,0.684138,0.222543,0.0934165
4.00678,7.16543,10.6408,0.936287,1.41716,2.00735,0.651735,0.250796,0.097577
4.05917,7.68701,11.3135,1.04137,1.52723,2.65688,0.665825,0.265247,0.0689978
4.01666,7.15463,10.1164,0.997671,1.70683,2.31854,0.629791,0.251083,0.119219
4.03094,7.38632,11.1567,1.00328,1.57872,2.29741,0.660677,0.253494,0.0858751
4.03569,7.23351,10.3629,1.00646,1.61307,2.4101,0.630239,0.2518,0.11797
4.05398,7.41145,10.6817,1.01408,1.46751,2.66435,0.641413,0.256385,0.102312
3.9945,6.71235,10.3213,0.972786,1.76852,2.51322,0.598913,0.270916,0.130247
3.90659,6.53474,10.5437,1.0618,1.63212,1.91963,0.584892,0.286258,0.128798
4.01081,7.19392,10.8512,1.01436,1.57681,2.31463,0.663066,0.235984,0.100957
4.02127,7.01951,10.8803,1.04266,1.5839,2.31446,0.629325,0.257633,0.113097
4.09801,7.51517,10.8214,1.02612,1.57823,2.40119,0.669218,0.242817,0.0880209
3.99508,6.96592,10.0548,1.07551,1.86627,2.70587,0.603476,0.271161,0.125395
4.0182,6.49503,10.375,1.00122,1.83229,2.50616,0.58297,0.293878,0.123173
4.04588,6.45152,10.2755,1.04079,1.68112,2.36284,0.585514,0.289363,0.12511
4.0463,6.90546,10.3543,1.07532,1.73133,2.05378,0.638187,0.24436,0.117481
3.98505,7.30533,11.1456,1.04315,1.60704,2.29689,0.655379,0.254493,0.0902191
4.06,7.00899,10.4596,0.963311,1.65605,2.681,0.629341,0.260552,0.110141
4.02698,7.12881,11.1536,1.03161,1.52131,2.44277,0.636451,0.282766,0.0808328
